DefaultSC.Earth.OrbitPeriod   
5544.855098067414             
DefaultSC.A1Gregorian      DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   Sun.EarthMJ2000Eq.X       Sun.EarthMJ2000Eq.Y       Sun.EarthMJ2000Eq.Z       
01 Jan 2000 12:00:32.034   6771                        0                           0                           0                            4.931851343423637            5.8775515566657              26500946.53925028         -132757095.5749299        -57556577.81763939        
01 Jan 2000 12:01:32.034   6755.356376658028           295.683155883121            352.3814632933032           -0.5212532251793834          4.920456863318022            5.86397214406409             26502734.18872969         -132756794.4603921        -57556447.28042334        
01 Jan 2000 12:02:58.924   6677.420764951566           721.0956678124151           859.3683527195667           -1.271203431888035           4.863690233382285            5.796320308898707            26505322.97499918         -132756358.3644792        -57556258.22697712        
01 Jan 2000 12:04:29.483   6527.375290324715           1156.984275436014           1378.840166825879           -2.039621713491373           4.754400324120314            5.666073666901458            26508021.11116055         -132755903.8018505        -57556061.16798348        
01 Jan 2000 12:06:00.465   6307.477428633119           1582.637798599099           1886.114282255867           -2.789996793516006           4.594231432582962            5.475191814989986            26510731.80450638         -132755447.076296         -57555863.17135543        
01 Jan 2000 12:07:31.495   6020.428038114027           1991.696596503295           2373.611574240463           -3.511117403375346           4.38515080604918             5.226019227176503            26513443.92912591         -132754990.0620561        -57555665.04960144        
01 Jan 2000 12:09:02.529   5669.359066562402           2379.600145554015           2835.897022401702           -4.194943897980086           4.129439688196431            4.921274583809209            26516156.17386952         -132754532.9800286        -57555466.8984836         
01 Jan 2000 12:10:33.564   5258.009325920672           2742.209007684473           3268.037436552175           -4.834178954504051           3.829821349546216            4.564203352315706            26518868.44503132         -132754075.8460008        -57555268.72484599        
01 Jan 2000 12:12:04.600   4790.756163363266           3075.662905679626           3665.432317452442           -5.422017376545638           3.489484156003548            4.158605279217801            26521580.70882208         -132753618.6656668        -57555070.53115701        
01 Jan 2000 12:13:35.635   4272.570486880591           3376.414846099116           4023.854522927049           -5.952206248665842           3.11204881045582             3.70879535018926             26524292.94941449         -132753161.4416946        -57554872.31857333        
01 Jan 2000 12:15:06.670   3708.955506299909           3641.270684358852           4339.497419692638           -6.419114684786033           2.701523733044775            3.219550614334629            26527005.19854452         -132752704.1687342        -57554674.08477558        
01 Jan 2000 12:16:37.705   3105.910972733111           3867.411021320338           4609.000978696954           -6.817772429195772           2.262279013946366            2.696079142321066            26529717.42039135         -132752246.8528246        -57554475.83238185        
01 Jan 2000 12:18:08.741   2469.843160059544           4052.433865172567           4829.502617569846           -7.143945064230642           1.798980845811342            2.143941886003836            26532429.63982653         -132751789.4897727        -57554277.55957426        
01 Jan 2000 12:19:39.776   1807.513197638095           4194.37198857251            4998.657886057807           -7.39416460878718            1.316553890419604            1.569007828751446            26535141.86204634         -132751332.0787015        -57554079.2659727         
01 Jan 2000 12:21:10.811   1125.96877903757            4291.715072346694           5114.666855859889           -7.565768554959343           0.8201315367824327           0.977394705360274            26537854.06312333         -132750874.6236463        -57553880.95332652        
01 Jan 2000 12:22:41.846   432.455787765187            4343.428795077426           5176.29687071066            -7.656933520643296           0.3149915312163786           0.3753922889638702           26540566.24487335         -132750417.1243015        -57553682.62150318        
01 Jan 2000 12:24:12.882   -265.6598663650722          4348.963678393257           5182.893087786893           -7.666690842702215           -0.1935009553715056          -0.2306054587344038          26543278.43649392         -132749959.5757416        -57553484.26836747        
01 Jan 2000 12:25:43.917   -960.9520351497911          4308.260262839202           5134.384646069494           -7.594935701392198           -0.6999368757218053          -0.8341522862306282          26545990.62309444         -132749501.9804781        -57553285.8950081         
01 Jan 2000 12:27:14.953   -1646.031137475452          4221.750652770268           5031.286507475919           -7.442429843820516           -1.198933817260004           -1.428833684002299           26548702.81595799         -132749044.3366067        -57553087.50059958        
01 Jan 2000 12:28:45.988   -2313.602421586685          4090.356357107222           4874.6968835731             -7.210797777462235           -1.685178439084511           -2.008317458941268           26551414.97108025         -132748586.6515528        -57552889.08836091        
01 Jan 2000 12:30:17.023   -2956.573668432327          3915.474292069746           4666.280554284394           -6.902502094691418           -2.153504920776579           -2.566447226004797           26554127.10867814         -132748128.9219058        -57552690.65681352        
